condition,N_train,seed,frac_static,Hy_bits,mean_nmi,p95_nmi,max_nmi,wall_seconds
real,10000,0,0.2614,0.8288516516804572,0.0002605976700421846,0.000745226257070538,0.0011607312394841293,0.12188887596130371
shuffle_y,10000,0,0.2614,0.8288516516804572,0.00025918769857472137,0.0006189997891413223,0.001061671617313809,
real,10000,1,0.2698,0.8411775023818542,0.00026395881127083324,0.0007523564176117666,0.0013580877548721644,0.11776208877563477
shuffle_y,10000,1,0.2698,0.8411775023818542,0.00025832182551458095,0.0006604977768826181,0.0009675204669872465,
real,10000,2,0.2664,0.8362512978123333,0.00022940580574015837,0.0006071173024931265,0.0010181008706269638,0.11873292922973633
shuffle_y,10000,2,0.2664,0.8362512978123333,0.0002596104956740774,0.0007202319090778704,0.0012351319274869802,
real,30000,0,0.26766666666666666,0.8380964877784627,8.207182380857528e-05,0.00020350723976375276,0.00032734820892110273,0.26228833198547363
shuffle_y,30000,0,0.26766666666666666,0.8380964877784627,8.633883005162749e-05,0.0002286710965135619,0.0005392934431526982,
real,30000,1,0.26666666666666666,0.8366407419411672,8.404485882071415e-05,0.00022430907526708714,0.0004759894589318465,0.25563597679138184
shuffle_y,30000,1,0.26666666666666666,0.8366407419411672,8.432524410319326e-05,0.00020715739755740076,0.00035352461050548674,
real,30000,2,0.2654,0.8347862042487246,9.46204020671137e-05,0.0002394203990874687,0.00044872221799039774,0.2554659843444824
shuffle_y,30000,2,0.2654,0.8347862042487246,8.507070720911349e-05,0.0002180133843445567,0.0004088602904683489,
real,100000,0,0.26776,0.8382319816022519,2.4302742877976916e-05,6.492925101054018e-05,9.914924592429022e-05,0.7890620231628418
shuffle_y,100000,0,0.26776,0.8382319816022519,2.578316947687187e-05,6.576972508924505e-05,0.00011351786086401379,
real,100000,1,0.26544,0.8348449499500518,2.812860155742341e-05,7.771124888365053e-05,0.00011848261952336235,0.7807059288024902
shuffle_y,100000,1,0.26544,0.8348449499500518,2.400076493512928e-05,6.202348142237188e-05,0.00011158864513624539,
real,100000,2,0.26551,0.8349477264413939,2.7323191412332395e-05,6.794659045801336e-05,0.0001153094938866554,0.7778730392456055
shuffle_y,100000,2,0.26551,0.8349477264413939,2.453584341354892e-05,6.546381408330799e-05,0.00011764484367647803,
real,300000,0,0.26764,0.8380577634821728,9.85665616671685e-06,2.469371946724693e-05,4.669106258714707e-05,2.439077854156494
shuffle_y,300000,0,0.26764,0.8380577634821728,8.578155262038394e-06,2.5274198804057152e-05,4.2900200620052186e-05,
real,300000,1,0.26533666666666667,0.834693166007228,8.33387177363476e-06,2.0957112024087634e-05,3.447004382406992e-05,2.393044948577881
shuffle_y,300000,1,0.26533666666666667,0.834693166007228,9.121352180282158e-06,2.4029344764052654e-05,3.27223427081947e-05,
real,300000,2,0.26572666666666667,0.835265614434156,8.739126128193038e-06,2.1235460672587715e-05,3.951135275612509e-05,2.3767449855804443
shuffle_y,300000,2,0.26572666666666667,0.835265614434156,8.23212929719541e-06,2.3969933678949843e-05,4.018117163277569e-05,
real,850000,0,0.2666129411764706,0.8365623226143994,3.132759023657066e-06,8.94565179517952e-06,1.1049744239498631e-05,7.260662078857422
shuffle_y,850000,0,0.2666129411764706,0.8365623226143994,2.6463111176633466e-06,7.067493269683488e-06,1.1439020989305551e-05,
real,850000,1,0.2666129411764706,0.8365623226143994,3.132759023657066e-06,8.94565179517952e-06,1.1049744239498631e-05,7.149417400360107
shuffle_y,850000,1,0.2666129411764706,0.8365623226143994,3.257369233880986e-06,8.305267422192064e-06,1.3257817115436405e-05,
real,850000,2,0.2666129411764706,0.8365623226143994,3.132759023657066e-06,8.94565179517952e-06,1.1049744239498631e-05,7.15752100944519
shuffle_y,850000,2,0.2666129411764706,0.8365623226143994,3.191778657580881e-06,8.463768208477386e-06,1.324846618392632e-05,
