model,N_train,mean_acc,sem_acc,mean_bal_acc,sem_bal_acc,mean_auc,sem_auc
extratrees,1000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5011901581063162,0.002253835683505409
extratrees,3000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5016839859835028,0.001527693855142093
extratrees,10000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5001178256978066,0.00017784701693529615
extratrees,30000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5006221457821199,0.0014758627067337235
extratrees,100000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5007237187450336,0.0011197811026801053
extratrees,300000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.4993235295723786,0.0006141854421648802
extratrees,850000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5002725413883683,0.0009203058987592725
hgb,1000,0.72256,0.0025437439598617983,0.5000962319051273,0.0003618941058883268,0.49997848389326344,0.0010722536128915108
hgb,3000,0.72809,0.0008575740978675411,0.49984606023083433,0.000565400899488224,0.4995889106363309,0.0018778854240806742
hgb,10000,0.7312600000000001,0.00016522711641857025,0.5000826681612643,9.96784421227281e-05,0.5010685010674388,0.0007744181122586968
hgb,30000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.500483085642416,0.00014782512063148305
hgb,100000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.502324024944509,0.0009535414653918391
hgb,300000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5003037973168621,0.0020446463714120485
hgb,850000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.49939711964944294,0.0007403576581888245
logreg_onehot,1000,0.5875833333333333,0.005281667455559021,0.5010208292721002,0.0014705754340618422,0.5013780736647214,0.0019263889488468785
logreg_onehot,3000,0.54054,0.003943619319018182,0.5013823376081925,0.0005346853411041237,0.5012272360461816,0.0007051601839184956
logreg_onehot,10000,0.5225633333333333,0.0012256336229794582,0.5002953861720223,0.0010443567491302157,0.5006838282499991,0.0013860180553490664
logreg_onehot,30000,0.5144866666666666,0.00036924848604221003,0.5008851879960746,0.00022997833857414193,0.5010745042891597,0.0001122000616280838
logreg_onehot,100000,0.50815,0.0004578573285788259,0.5011910378932205,0.0006544724581800358,0.500933988923758,0.0006068452304082871
logreg_onehot,300000,0.5027833333333334,0.0012449542606502101,0.4987441290518142,0.0009918278973778264,0.49875145157015194,0.0011834964582200212
logreg_onehot,850000,0.50345,0.0,0.49982394642840977,0.0,0.49789034084393163,0.0
